frame_idx,phase,landmark,vertex_index,in_bounds,gt_key,gt_2d_x,gt_2d_y,old_anchor_key,old_anchor_x,old_anchor_y,new_vertex_x,new_vertex_y,old_dist_px,new_dist_px,improvement_px
7,setup,acromion_left,4721,True,left_shoulder,387.0,476.0,left_shoulder_visual,389.14191661481516,476.16793704956626,397.7094098877835,488.89597834245023,2.148490083160323,16.76298653443058,-14.61449645127026
7,setup,acromion_right,1238,True,right_shoulder,535.0,465.0,right_shoulder_visual,538.6372701208684,464.9423616807804,492.09430250617277,484.2780846217303,3.637726777536259,47.03768089643032,-43.39995411889406
7,setup,greater_trochanter_left,6375,True,left_hip,410.0,610.0,left_hip_visual,405.59727630914904,608.0402187565423,399.41300576279167,586.9618357414564,4.819203089743028,25.35431835767465,-20.535115267931623
7,setup,greater_trochanter_right,2915,True,right_hip,501.0,616.0,right_hip_visual,505.5504250130948,611.5823175129118,493.16666119237493,590.4523637602845,6.342104253047618,26.72158143358793,-20.37947718054031
7,setup,throat_midpoint,444,True,neck_center,447.0,371.0,neck_visual,451.81273209897813,361.65474596932484,431.50205272280823,405.37918538936435,10.511715519095105,37.71093684652901,-27.199221327433904
7,setup,head_crown,411,True,,,,,,,434.39254782916015,391.46143767662556,,,
7,setup,c7,414,True,,,,,,,436.20784278894166,389.05098854263497,,,
7,setup,lateral_epicondyle_left,4447,True,,,,,,,373.6919826500343,680.635209529555,,,
7,setup,lateral_epicondyle_right,959,True,,,,,,,510.9383315773806,680.2543395102131,,,
7,setup,lateral_malleolus_left,6749,True,,,,,,,320.4688597900524,887.2256836965574,,,
7,setup,lateral_malleolus_right,3348,True,,,,,,,548.1802803551859,900.2323320719802,,,
90,impact,acromion_left,4721,True,left_shoulder,437.0,430.0,left_shoulder_visual,431.67581525060126,439.3874625373347,433.2035260707761,457.27429346431586,10.792191442686377,27.537252918054474,-16.745061475368097
90,impact,acromion_right,1238,True,right_shoulder,459.0,471.0,right_shoulder_visual,488.3560961849664,467.88916421542854,464.81501069738033,486.25204365075183,29.520462098340705,16.322964955396028,13.197497142944677
90,impact,greater_trochanter_left,6375,True,left_hip,425.0,616.0,left_hip_visual,425.96765165429065,608.1162424083984,418.9688058154959,590.787016851276,7.9429203374569335,25.924309490303425,-17.981389152846493
90,impact,greater_trochanter_right,2915,True,right_hip,506.0,636.0,right_hip_visual,513.0686825164514,623.7888093654765,494.5792995345862,606.2823346562997,14.109551701987588,31.83664606394447,-17.727094361956883
90,impact,throat_midpoint,444,True,neck_center,447.0,347.0,neck_visual,445.7174971759821,357.61727858597067,441.9784318306361,414.38457224479737,10.694457352560025,67.57141942784601,-56.87696207528599
90,impact,head_crown,411,True,,,,,,,451.3260933171308,398.07620588506956,,,
90,impact,c7,414,True,,,,,,,455.5240772877961,393.78558253886376,,,
90,impact,lateral_epicondyle_left,4447,True,,,,,,,382.67122916736304,688.1065222244881,,,
90,impact,lateral_epicondyle_right,959,True,,,,,,,500.9348068702383,702.6660527946985,,,
90,impact,lateral_malleolus_left,6749,True,,,,,,,323.52743544535764,891.5718616739844,,,
90,impact,lateral_malleolus_right,3348,True,,,,,,,545.9685720802461,911.4669911635094,,,
125,finish,acromion_left,4721,True,left_shoulder,532.0,404.0,left_shoulder_visual,513.6582290092297,414.0003274838573,507.54713087344504,421.5207204262887,20.890838012445922,30.08186252173548,-9.191024509289559
125,finish,acromion_right,1238,True,right_shoulder,442.0,398.0,right_shoulder_visual,468.76561676554286,407.90410723254274,441.19667674184495,412.84113634846045,28.539263846736034,14.862861648104207,13.676402198631827
125,finish,greater_trochanter_left,6375,True,left_hip,495.0,586.0,left_hip_visual,493.07349895177055,586.1560701577893,480.44469719889435,565.7529505895279,1.9328125059046855,24.935914851113278,-23.003102345208593
125,finish,greater_trochanter_right,2915,True,right_hip,511.0,576.0,right_hip_visual,502.38557691393896,587.8595502424002,463.0264025260341,562.2292925949258,14.65800863206449,49.91090499109663,-35.252896359032135
125,finish,throat_midpoint,444,True,neck_center,472.0,297.0,neck_visual,490.96029634796514,317.55775676214586,514.154946793676,330.76420560242764,27.96630473792013,54.009824283556604,-26.043519545636475
125,finish,head_crown,411,True,,,,,,,492.8824272818964,325.2086658590177,,,
125,finish,c7,414,True,,,,,,,481.84682891135554,327.23451529014824,,,
125,finish,lateral_epicondyle_left,4447,True,,,,,,,456.166409689518,679.7151062825724,,,
125,finish,lateral_epicondyle_right,959,True,,,,,,,494.9226452802696,674.4608403127404,,,
125,finish,lateral_malleolus_left,6749,True,,,,,,,335.3526633866664,889.982275255385,,,
125,finish,lateral_malleolus_right,3348,True,,,,,,,527.4274004786984,895.3944685122781,,,
